[format: "filename|center_x|center_y|radius|possibility"]
save_imgs/bad_imgs/bad_imgs_00.png| 386| 203| 41| 0.75
save_imgs/bad_imgs/bad_imgs_01.png| 556| 211| 63| 0.75
save_imgs/bad_imgs/bad_imgs_02.png| 428| 236| 75| 0.875
save_imgs/bad_imgs/bad_imgs_03.png| 388| 284| 53| 0.875
save_imgs/bad_imgs/bad_imgs_04.png| 637| 289| 20| 0.625
save_imgs/bad_imgs/bad_imgs_05.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_06.png| 426| 193| 80| 0.75
save_imgs/bad_imgs/bad_imgs_07.png| 388| 190| 57| 0.75
save_imgs/bad_imgs/bad_imgs_08.png| 335| 183| 40| 0.875
save_imgs/bad_imgs/bad_imgs_09.png| 370| 194| 60| 0.625
save_imgs/bad_imgs/bad_imgs_10.png| 428| 246| 58| 0.625
save_imgs/bad_imgs/bad_imgs_100.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_101.png| 673.0| 298.0| 57.0| 1.0
save_imgs/bad_imgs/bad_imgs_102.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_103.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_104.png| 395| 256| 51| 0.5
save_imgs/bad_imgs/bad_imgs_105.png| 546| 262| 18| 0.875
save_imgs/bad_imgs/bad_imgs_106.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_107.png| 546| 256| 15| 1.0
save_imgs/bad_imgs/bad_imgs_108.png| 534| 270| 30| 0.75
save_imgs/bad_imgs/bad_imgs_109.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_11.png| 390| 137| 53| 0.5
save_imgs/bad_imgs/bad_imgs_110.png| 764.0| 40.0| 13.0| 1.0
save_imgs/bad_imgs/bad_imgs_111.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_112.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_113.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_114.png| 482.0| 19.0| 6.0| 0.875
save_imgs/bad_imgs/bad_imgs_115.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_116.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_117.png| 296.0| 256.0| 26.0| 0.875
save_imgs/bad_imgs/bad_imgs_118.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_119.png| 19.0| 71.0| 24.0| 0.875
save_imgs/bad_imgs/bad_imgs_12.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_120.png| 211| 258| 14| 0.75
save_imgs/bad_imgs/bad_imgs_121.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_122.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_123.png| 202| 32| 5| 0.75
save_imgs/bad_imgs/bad_imgs_124.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_125.png| 54.0| 267.0| 17.0| 0.875
save_imgs/bad_imgs/bad_imgs_126.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_127.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_128.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_129.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_13.png| 402| 296| 41| 0.75
save_imgs/bad_imgs/bad_imgs_130.png| 190| 101| 14| 0.875
save_imgs/bad_imgs/bad_imgs_131.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_132.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_133.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_134.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_135.png| 34.0| 206.0| 24.0| 0.75
save_imgs/bad_imgs/bad_imgs_136.png| 69.0| 42.0| 5.0| 1.0
save_imgs/bad_imgs/bad_imgs_137.png| 321| 310| 14| 0.75
save_imgs/bad_imgs/bad_imgs_138.png| 514.0| 122.0| 7.0| 1.0
save_imgs/bad_imgs/bad_imgs_139.png| 9| 210| 7| 1.0
save_imgs/bad_imgs/bad_imgs_14.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_140.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_141.png| 427.0| 52.0| 6.0| 1.0
save_imgs/bad_imgs/bad_imgs_142.png| 148| 412| 21| 0.5
save_imgs/bad_imgs/bad_imgs_143.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_144.png| 75.0| 207.0| 13.0| 0.75
save_imgs/bad_imgs/bad_imgs_145.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_146.png| 692| 89| 54| 1.0
save_imgs/bad_imgs/bad_imgs_147.png| 650| 83| 49| 1.0
save_imgs/bad_imgs/bad_imgs_148.png| 599| 96| 48| 1.0
save_imgs/bad_imgs/bad_imgs_149.png| 538| 136| 13| 1.0
save_imgs/bad_imgs/bad_imgs_15.png| 696| 245| 16| 0.75
save_imgs/bad_imgs/bad_imgs_150.png| 532| 104| 49| 1.0
save_imgs/bad_imgs/bad_imgs_151.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_152.png| 447| 93| 50| 1.0
save_imgs/bad_imgs/bad_imgs_153.png| 392| 96| 49| 1.0
save_imgs/bad_imgs/bad_imgs_154.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_155.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_156.png| 246| 104| 49| 1.0
save_imgs/bad_imgs/bad_imgs_157.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_158.png| 132| 111| 52| 1.0
save_imgs/bad_imgs/bad_imgs_159.png| 75| 149| 52| 1.0
save_imgs/bad_imgs/bad_imgs_16.png| 0| 0| 0| 0
save_imgs/bad_imgs/bad_imgs_160.png| 0| 0| 0| 0
