[format: "filename|center_x|center_y|radius|possibility"]
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_00.png| 399.0| 226.0| 62.0| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_01.png| 553| 205| 58| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_02.png| 427| 232| 76| 0.875
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_03.png| 395| 248| 85| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_04.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_05.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_06.png| 413| 182| 68| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_07.png| 384| 200| 63| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_08.png| 331| 175| 57| 0.625
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_09.png| 368| 189| 63| 0.625
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_10.png| 419| 234| 61| 0.625
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_100.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_101.png| 670| 294| 52| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_102.png| 449| 111| 50| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_103.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_104.png| 350| 269| 45| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_105.png| 541| 271| 32| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_106.png| 483| 71| 35| 0.625
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_107.png| 544| 264| 25| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_108.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_109.png| 524| 257| 25| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_11.png| 385| 193| 31| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_110.png| 498| 264| 29| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_111.png| 474| 264| 28| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_112.png| 440| 266| 32| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_113.png| 413.0| 259.0| 17.0| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_114.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_115.png| 347.0| 253.0| 23.0| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_116.png| 334.0| 262.0| 25.0| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_117.png| 303| 266| 26| 0.75
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_118.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_119.png| 241| 263| 29| 0.875
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_12.png| 467.0| 370.0| 44.0| 0.875
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_120.png| 212| 266| 26| 1.0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_121.png| 186.0| 267.0| 26.0| 0.875
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_122.png| 0| 0| 0| 0
save_imgs/outputs_9_layer_conv5/outputs_9_layer_conv5_123.png| 673.0| 86.0| 8.0| 1.0
