[format: "filename|center_x|center_y|radius|possibility"]
test_imgs/img_fr_nov15_000.000.png| 392| 198| 59| 0.625
test_imgs/img_fr_nov15_000.001.png| 553| 195| 52| 0.75
test_imgs/img_fr_nov15_000.003.png| 430| 226| 68| 0.75
test_imgs/img_fr_nov15_000.004.png| 404| 299| 52| 0.75
test_imgs/img_fr_nov15_000.005.png| 634| 315| 26| 0.625
test_imgs/img_fr_nov15_000.006.png| 109| 174| 52| 0.625
test_imgs/img_fr_nov15_000.007.png| 417| 181| 64| 1.0
test_imgs/img_fr_nov15_000.008.png| 390| 195| 59| 0.75
test_imgs/img_fr_nov15_000.009.png| 339| 181| 35| 0.875
test_imgs/img_fr_nov15_000.010.png| 362| 216| 37| 0.75
test_imgs/img_fr_nov15_000.011.png| 430| 218| 46| 0.625
test_imgs/img_fr_nov15_000.012.png| 386| 187| 30| 0.875
test_imgs/img_fr_nov15_000.071.png| 444.0| 345.0| 11.0| 0.75
test_imgs/img_fr_nov15_000.072.png| 401| 306| 43| 0.875
test_imgs/img_fr_nov15_000.073.png| 363.0| 249.0| 54.0| 0.875
test_imgs/img_fr_nov15_000.074.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.075.png| 404| 293| 57| 0.875
test_imgs/img_fr_nov15_000.076.png| 549| 205| 9| 0.875
test_imgs/img_fr_nov15_000.077.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.078.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.079.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.080.png| 676| 482| 52| 0.875
test_imgs/img_fr_nov15_000.081.png| 490.0| 415.0| 45.0| 0.875
test_imgs/img_fr_nov15_000.082.png| 348| 404| 46| 0.75
test_imgs/img_fr_nov15_000.083.png| 288.0| 495.0| 41.0| 0.875
test_imgs/img_fr_nov15_000.084.png| 141| 445| 62| 0.875
test_imgs/img_fr_nov15_000.085.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.086.png| 236| 315| 47| 0.875
test_imgs/img_fr_nov15_000.087.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.088.png| 430.0| 266.0| 57.0| 0.875
test_imgs/img_fr_nov15_000.089.png| 0| 0| 0| 0
test_imgs/img_fr_nov15_000.090.png| 377| 249| 46| 0.875
test_imgs/img_fr_nov15_000.091.png| 429.0| 259.0| 12.0| 0.875
test_imgs/img_fr_nov15_000.092.png| 681.0| 172.0| 8.0| 1.0
test_imgs/img_fr_nov15_000.093.png| 450| 438| 39| 0.875
test_imgs/img_fr_nov15_000.094.png| 560| 408| 39| 0.875
